Block;Tray;Position;Focal.sp;Neighb.ID;Neighb.Age;Rowtype;0;2;4;6;8;10;12;14;17
10;40;2;Leu;Pl;Y;Leu-Pl-Y;1;1;2;3;6;6;6;6;6
10;40;3;Pl;Leu;O;Pl-Leu-O;1;1;1;1;1;3;3;7;7
10;40;5;Leu;Ant;O;Leu-Ant-O;1;1;1;1;1;1;1;1;1
11;41;1;Pl;Fes;Y;Pl-Fes-Y;1;1;1;2;2;6;6;6;7
11;41;3;Leu;Pl;Y;Leu-Pl-Y;1;1;2;2;3;5;7;7;7
11;41;4;Leu;Ant;O;Leu-Ant-O;1;1;1;1;1;1;1;1;1
11;41;5;Pl;Leu;O;Pl-Leu-O;1;1;1;2;2;2;2;2;2
11;42;2;Leu;Ant;Y;Leu-Ant-Y;1;1;1;1;1;1;1;1;1
11;42;3;Pl;Fes;O;Pl-Fes-O;1;1;1;1;2;2;6;7;7
11;42;4;Leu;Pl;O;Leu-Pl-O;1;1;1;1;1;1;1;1;1
11;43;1;Pl;Ant;Y;Pl-Ant-Y;1;1;2;4;6;7;7;7;7
11;43;3;Leu;Fes;Y;Leu-Fes-Y;1;1;2;4;5;7;7;7;7
11;43;4;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
11;44;1;Pl;Pl;Y;Pl-Pl-Y;1;1;1;3;5;7;7;7;7
11;44;2;Pl;None;None;Pl-None-None;1;1;1;3;5;7;7;7;7
11;44;3;Pl;Ant;O;Pl-Ant-O;1;1;1;2;5;7;7;7;7
11;44;4;Leu;Leu;Y;Leu-Leu-Y;1;1;1;2;2;2;4;4;4
11;44;5;Leu;Fes;O;Leu-Fes-O;1;1;1;1;1;1;1;1;1
12;45;1;Leu;Pl;O;Leu-Pl-O;1;1;1;2;2;5;7;7;7
12;45;3;Pl;Ant;O;Pl-Ant-O;1;1;1;3;3;6;6;6;6
12;45;4;Pl;Fes;Y;Pl-Fes-Y;1;1;1;3;5;7;7;7;7
12;45;5;Pl;None;None;Pl-None-None;1;1;2;4;5;6;6;7;7
12;46;1;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
12;46;2;Pl;Ant;Y;Pl-Ant-Y;1;1;1;5;7;7;7;7;7
12;46;3;Leu;Pl;Y;Leu-Pl-Y;1;1;2;2;6;7;7;7;7
12;46;4;Pl;Fes;O;Pl-Fes-O;1;1;1;3;3;3;6;7;7
12;47;1;Leu;Fes;O;Leu-Fes-O;1;1;2;2;2;2;2;2;2
12;47;2;Leu;Leu;Y;Leu-Leu-Y;1;1;1;2;2;2;2;2;2
12;47;3;Leu;None;None;Leu-None-None;1;1;1;3;3;3;3;3;3
12;47;4;Pl;Pl;Y;Pl-Pl-Y;1;1;2;4;7;7;7;7;7
12;47;5;Leu;Ant;O;Leu-Ant-O;1;1;2;2;2;2;2;2;2
12;48;1;Pl;Pl;O;Pl-Pl-O;1;1;1;1;1;1;6;6;7
12;48;3;Leu;Ant;Y;Leu-Ant-Y;1;1;1;2;3;4;5;6;6
12;48;5;Leu;Fes;Y;Leu-Fes-Y;1;1;1;1;1;1;1;1;1
13;49;1;Pl;Pl;O;Pl-Pl-O;1;1;2;2;5;7;7;7;7
13;49;2;Leu;Ant;O;Leu-Ant-O;1;1;1;1;1;1;1;1;1
13;49;3;Pl;Leu;Y;Pl-Leu-Y;1;1;1;3;6;7;7;7;7
13;50;1;Leu;Ant;Y;Leu-Ant-Y;1;1;2;3;3;5;6;6;7
13;50;2;Leu;Pl;O;Leu-Pl-O;1;1;1;3;4;5;5;5;7
13;50;3;Leu;Fes;O;Leu-Fes-O;1;2;2;4;5;7;7;7;7
13;50;4;Leu;Leu;Y;Leu-Leu-Y;1;1;2;3;3;3;6;6;6
13;50;5;Leu;None;None;Leu-None-None;1;1;1;4;4;4;4;4;4
13;51;1;Pl;Pl;Y;Pl-Pl-Y;1;1;1;2;6;7;7;7;7
13;51;2;Pl;Fes;Y;Pl-Fes-Y;1;1;2;5;7;7;7;7;7
13;51;3;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;2
13;51;5;Pl;Ant;O;Pl-Ant-O;1;1;1;2;2;3;4;5;5
13;52;1;Leu;Pl;Y;Leu-Pl-Y;1;1;2;3;6;7;7;7;7
13;52;2;Pl;Fes;O;Pl-Fes-O;1;1;2;3;5;7;7;7;7
13;52;4;Pl;None;None;Pl-None-None;1;1;2;2;5;7;7;7;7
13;52;5;Pl;Ant;Y;Pl-Ant-Y;1;1;1;2;4;5;7;7;7
14;53;1;Leu;Ant;O;Leu-Ant-O;1;1;2;2;3;3;3;3;3
14;53;2;Pl;Pl;Y;Pl-Pl-Y;1;1;2;4;6;7;7;7;7
14;53;4;Leu;Fes;Y;Leu-Fes-Y;1;1;2;2;2;2;2;2;2
14;53;5;Leu;None;None;Leu-None-None;1;1;2;3;4;6;7;7;7
14;54;1;Leu;Fes;O;Leu-Fes-O;1;1;1;1;1;1;1;1;1
14;54;2;Pl;None;None;Pl-None-None;1;1;1;1;3;4;7;7;7
14;54;3;Leu;Pl;O;Leu-Pl-O;1;1;2;2;2;5;5;5;5
14;54;4;Pl;Ant;Y;Pl-Ant-Y;1;1;2;4;5;7;7;7;7
14;54;5;Pl;Leu;Y;Pl-Leu-Y;1;1;1;4;6;6;6;6;6
14;55;1;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
14;55;2;Pl;Pl;O;Pl-Pl-O;1;1;1;3;5;7;7;7;7
14;55;3;Leu;Ant;Y;Leu-Ant-Y;1;1;2;4;4;4;4;4;4
14;55;5;Pl;Fes;Y;Pl-Fes-Y;1;1;2;4;6;7;7;7;7
14;56;3;Leu;Leu;Y;Leu-Leu-Y;1;1;3;5;6;6;6;6;6
14;56;4;Leu;Pl;Y;Leu-Pl-Y;1;1;1;4;6;7;7;7;7
14;56;5;Pl;Fes;O;Pl-Fes-O;1;1;1;1;1;1;4;6;6
15;57;1;Leu;Leu;Y;Leu-Leu-Y;1;1;1;1;1;1;1;1;1
15;57;2;Leu;Ant;Y;Leu-Ant-Y;1;1;1;1;3;3;3;3;3
15;57;3;Leu;Pl;O;Leu-Pl-O;1;1;2;2;2;2;6;6;6
15;57;4;Pl;Fes;O;Pl-Fes-O;1;1;1;1;4;6;7;7;7
15;58;2;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
15;58;3;Pl;Pl;Y;Pl-Pl-Y;1;1;2;5;5;7;7;7;7
15;58;4;Leu;Fes;O;Leu-Fes-O;1;1;2;2;2;2;2;2;2
15;58;5;Leu;None;None;Leu-None-None;1;1;1;1;1;1;1;1;1
15;59;2;Pl;Ant;O;Pl-Ant-O;1;1;1;2;3;5;5;7;7
15;59;4;Leu;Fes;Y;Leu-Fes-Y;1;1;1;1;1;1;1;1;1
15;59;5;Pl;Leu;O;Pl-Leu-O;1;1;2;2;2;2;6;7;7
15;60;1;Pl;None;None;Pl-None-None;1;1;1;2;2;4;5;7;7
15;60;2;Leu;Ant;O;Leu-Ant-O;1;1;2;2;2;2;2;5;5
15;60;3;Pl;Leu;Y;Pl-Leu-Y;1;1;2;3;4;6;7;7;7
15;60;4;Pl;Fes;Y;Pl-Fes-Y;1;1;1;1;4;6;7;7;7
15;60;5;Pl;Pl;O;Pl-Pl-O;1;1;1;2;5;6;7;7;7
